AVAILABLE,VERSION,NAME,ID,ALT_EXE,ALT_RUN_MODE,ROM,VIDEOS_PATH,WEBLINK_URL,WEBLINK2_URL
YES,2.3,Bugs Bunny Birthday,Bugs Bunny Birthday Ball  (Bally 1989),VPinballX10_8_0_directx_64bit.exe,None,bbnny_l2,None,https://vpuniverse.com/files/file/14364-bugs-bunnys-birthday-ball-bally-1991/,None
YES,1.0.0,CSI,CSI (Stern 2008),VPinballX10_7_3_32bit.exe,None,csi_240,csi_240,https://vpuniverse.com/files/file/4952-csi-stern-2008/,None
YES,1.1,Cactus Canyon,Cactus Canyon (Bally 1998) VPW,VPinballX10_7_3_32bit.exe,None,cc_13,cc_13,https://vpuniverse.com/files/file/6267-cactus-canyon-continued-bally-1998-vpw-mod/,None
YES,1.43,Champion Pub,Champ Pub,VPinballX10_8_0_directx_64bit.exe,None,cp_16,cp_16,https://vpuniverse.com/files/file/10267-the-champion-pub-williams-1998/,None
YES,1.1,Cirqus Voltaire,Cirqus Voltaire (Bally 1997),VPinballX10_8_0_directx_64bit.exe,None,cv_20h,cv_20h,https://vpuniverse.com/files/file/15989-cirqus-voltaire-bally-1997-vpw-mod/,None
YES,1.0.0,Congo,Congo (Williams 1995) VPW,VPinballX10_7_3_32bit.exe,None,congo_21,congo_21,https://vpuniverse.com/files/file/6546-congo-williams-1995-vpw-mod/,None
YES,1.4.2,Corvette,Corvette,VPinballX10_8_0_directx_64bit.exe,None,corv_21,corv_21,https://www.vpforums.org/index.php?app=downloads&showfile=15112,None
YES,latest,Cosmocats 1,Cosmocats,VPinballX10_7_3_32bit.exe,None,None,Cosmocats,None,None
YES,1.0.9,Cosmocats 2,Thundercats,VPinballX10_8_0_directx_64bit.exe,None,None,Thundercats,https://vpuniverse.com/files/file/13381-thundercats-pinball/,None
YES,latest,Crash Bandicoot,Crash Bandicoot,VPinballX10_7_3_32bit.exe,None,Crash Bandicoot,CrashBandicoot,None,None
YES,1.2,Creature from the Black Lagoon,Creature From The Black Lagoon (Bally 1992),VPinballX10_8_0_directx_64bit.exe,None,cftbl_l4,cftbl_l4,https://vpuniverse.com/files/file/6110-creature-from-the-black-lagoon-bally-1992/,None
YES,2,Cyclone,Cyclone (Williams 1988),VPinballX10_8_0_directx_64bit.exe,None,cycln_l5,None,https://vpuniverse.com/files/file/9072-cyclone-williams-1988-balutito-mod/,None
YES,1.0.0,Demolition Man,Demolition Man,VPinballX10_8_0_directx_64bit.exe,None,dm_lx4,dm_lx4,https://vpuniverse.com/files/file/20903-demolition-man-williams-1994-limited-cryo-edition-ottopinball-mod/,None
YES,5.5.0,Diablo,Diablo Pinball,VPinballX10_8_0_directx_64bit.exe,None,None,diablo,https://www.vpforums.org/index.php?app=downloads&showfile=12750,None
YES,1.02,Diner,Diner (Williams 1990) VPW,VPinballX10_8_0_directx_64bit.exe,None,diner_l4,None,https://vpuniverse.com/files/file/10699-diner-williams-1990-vpw-mod/,None
YES,2.20,Dirty Harry,Dirty Harry (Williams1995),VPinballX10_8_0_directx_64bit.exe,None,dh_lx2,dh_lx2,https://vpuniverse.com/files/file/12442-dirty-harry-williams-1995/,None
YES,1.0,Disney Aladdin,Disney Aladdin,VPinballX10_7_3_32bit.exe,None,seawitch,None,https://www.vpforums.org/index.php?app=downloads&showfile=14590,None
YES,1.0,Disney The Lion King,Disney The Lion King,VPinballX10_7_3_32bit.exe,None,alpok_l6,alpok_f6,https://www.vpforums.org/index.php?app=downloads&showfile=14798,None
YES,latest,Disney Vaiana,Disney Vaiana,VPinballX10_7_3_32bit.exe,None,Moana,Moana,None,None
YES,3.0,Doctor Dude,Dr Dude (Bally 1990),VPinballX10_8_0_directx_64bit.exe,None,dd_l2,None,https://vpuniverse.com/files/file/15876-dr-dude-his-excellent-ray-bally-1990/,None
YES,1.1,Doctor Who,Doctor Who (bally 1992),VPinballX10_8_0_directx_64bit.exe,None,dw_l2,None,https://vpuniverse.com/files/file/9325-doctor-who-bally-1992-vpw-mod/,None
YES,1.0,Dracula,Bram Stokers Dracula,VPinballX10_8_0_directx_64bit.exe,None,drac_l1,drac_l1,https://vpuniverse.com/files/file/21968-bram-stokers-dracula-williams-1993-vpw/,None
YES,1.0.0,Dragon Ball Z 1,Dragon Ball Z Budokai,VPinballX10_8_0_directx_64bit.exe,None,horrorburg,DBZ,https://vpuniverse.com/files/file/17383-dragon-ball-z-budokai/,None
YES,1.2.0,Dragon Ball Z 2,Dragon Ball Z Oly,VPinballX10_8_0_directx_64bit.exe,None,DBZ,DBZ,https://vpuniverse.com/files/file/14361-dragon-ball-z-oly-120/,None
YES,1.6.0,Elvira 1,Elvira and the Party Monsters (Bally 1989),VPinballX10_8_0_directx_64bit.exe,None,eatpm_l4,eatpm_l4,https://vpuniverse.com/files/file/20739-elvira-and-the-party-monsters-bally-1989-re-vamped-lipebello-mod/,https://vpuniverse.com/files/file/16020-elvira-dual-table-pup-pack/
YES,1.29,Elvira 2,Scared Stiff (Bally 1996),VPinballX10_8_0_directx_64bit.exe,None,ss_15,SS_15,https://vpuniverse.com/files/file/13544-scared-stiff-bally-1996-mikcab_mod/,None
YES,2.0,Elvis,Elvis (Stern 2004),VPinballX10_8_0_directx_64bit.exe,None,elvis,elvis,https://vpuniverse.com/files/file/13950-elvis-stern-2004-mod-20/,None
YES,1.0,F-14 Tomcat,F-14 Tomcat (Williams 1987),VPinballX10_8_0_directx_64bit.exe,None,f14_l1,None,https://vpuniverse.com/files/file/23199-f-14-tomcat-williams-1987-vpw-mod/,None
YES,1.0,Family Guy,Family Guy (Stern 2006),VPinballX10_8_0_directx_64bit.exe,None,fg_1200af,fg_1200af,https://vpuniverse.com/files/file/11192-family-guy/,None
YES,2.1,Fast and Furious,Fast and furious,VPinballX10_8_0_directx_64bit.exe,None,FF,FF,https://vpuniverse.com/files/file/11211-fast-and-furious/,None
YES,1.1,Fish Tales,Fish Tales,VPinballX10_8_0_directx_64bit.exe,None,ft_l5,None,https://vpuniverse.com/files/file/18293-fish-tales-vpw/,None
YES,1.2.6,Flintstones,Flintstones (Williams 1994),VPinballX10_8_0_directx_64bit.exe,None,fs_lx5,None,https://vpuniverse.com/files/file/8763-the-flintstones/,None
